Total VLESS: 426
Same /24 or exact: 0
Near /23-/22: 0
Near /21-/20: 0
Same /16: 0
REALITY+gRPC+443: 4

Positive control:
81.163.22.35:443
VLESS + REALITY + gRPC
SNI=st.vk.com
fp=firefox

TOP 100:
 240 | 144.31.3.127:443 | IP=144.31.3.127 | SNI=pl.moktana.app | type=grpc | security=reality | fp=firefox | REALITY,gRPC,PORT-443,FP-FIREFOX
 240 | 212.46.33.38:443 | IP=212.46.33.38 | SNI=login.moktana.app | type=grpc | security=reality | fp=firefox | REALITY,gRPC,PORT-443,FP-FIREFOX
 240 | 212.46.33.18:443 | IP=212.46.33.18 | SNI=login.moktana.app | type=grpc | security=reality | fp=firefox | REALITY,gRPC,PORT-443,FP-FIREFOX
 240 | 188.130.234.239:443 | IP=188.130.234.239 | SNI=kz.node.goidanet.com | type=grpc | security=reality | fp=firefox | REALITY,gRPC,PORT-443,FP-FIREFOX
 200 | 31.76.91.138:2087 | IP=31.76.91.138 | SNI=ads.x5.ru | type=grpc | security=reality | fp=firefox | REALITY,gRPC,FP-FIREFOX
 200 | 185.141.227.153:9001 | IP=185.141.227.153 | SNI=api-maps.yandex.ru | type=grpc | security=reality | fp=firefox | REALITY,gRPC,FP-FIREFOX
 200 | 217.60.24.57:8443 | IP=217.60.24.57 | SNI=cdn.shopify.com | type=grpc | security=reality | fp=firefox | REALITY,gRPC,FP-FIREFOX
 200 | 201.51.1.84:16923 | IP=201.51.1.84 | SNI=api-maps.yandex.ru | type=grpc | security=reality | fp=firefox | REALITY,gRPC,FP-FIREFOX
 190 | 31.76.91.72:2087 | IP=31.76.91.72 | SNI=ads.x5.ru | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 5.129.210.63:8443 | IP=5.129.210.63 | SNI=sun6-21.userapi.com | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 217.69.167.135:15392 | IP=217.69.167.135 | SNI=google.com | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 194.58.95.183:9871 | IP=194.58.95.183 | SNI=dl.google.com | type=grpc | security=reality | fp=qq | REALITY,gRPC
 190 | 176.108.243.192:9880 | IP=176.108.243.192 | SNI=dl.google.com | type=grpc | security=reality | fp=qq | REALITY,gRPC
 190 | 85.192.41.222:25565 | IP=85.192.41.222 | SNI=yandex.ru | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 176.108.240.241:9894 | IP=176.108.240.241 | SNI=dl.google.com | type=grpc | security=reality | fp=qq | REALITY,gRPC
 190 | 176.117.75.143:2087 | IP=176.117.75.143 | SNI=www.cloudflare.com | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 77.110.115.8:25565 | IP=77.110.115.8 | SNI=yandex.ru | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 190 | 81.208.170.142:1500 | IP=81.208.170.142 | SNI=www.ebay.com | type=grpc | security=reality | fp=chrome | REALITY,gRPC
 185 | 77.221.152.100:443 | IP=77.221.152.100 | SNI=node14.mxvpn.dev | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 89.208.97.226:443 | IP=89.208.97.226 | SNI=node21.mxvpn.dev | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.220:443 | IP=195.184.247.220 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.224:443 | IP=195.184.247.224 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.225:443 | IP=195.184.247.225 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 144.31.125.60:443 | IP=144.31.125.60 | SNI=www.intel.com | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 95.85.247.155:443 | IP=95.85.247.155 | SNI=eu-west.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 150.241.102.202:443 | IP=150.241.102.202 | SNI=america.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 132.243.223.88:443 | IP=132.243.223.88 | SNI=fin2.freeinternat.com | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 150.241.75.198:443 | IP=150.241.75.198 | SNI=lv1.hat.onl | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 150.241.86.150:443 | IP=150.241.86.150 | SNI=nordic.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 31.76.3.54:443 | IP=31.76.3.54 | SNI=nordic.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 150.241.82.19:443 | IP=150.241.82.19 | SNI=america.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 80.66.78.227:443 | IP=80.66.78.227 | SNI=cdn-se.alohaapp.uk | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 152.53.114.186:443 | IP=152.53.114.186 | SNI=as.tunnelx.space | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 151.242.168.181:443 | IP=151.242.168.181 | SNI=kibi-institut.de | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 84.21.189.193:443 | IP=84.21.189.193 | SNI=stackoverflow.com | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 144.31.166.71:443 | IP=144.31.166.71 | SNI=eu-central.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.223:443 | IP=195.184.247.223 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.222:443 | IP=195.184.247.222 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 2.27.9.209:443 | IP=2.27.9.209 | SNI=nodefulcrum.mooo.com | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 195.184.247.229:443 | IP=195.184.247.229 | SNI=savesafe.co | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 77.91.66.178:443 | IP=77.91.66.178 | SNI=de1.hat.onl | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 212.118.40.187:443 | IP=212.118.40.187 | SNI=www.cisco.com | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 213.165.39.188:443 | IP=213.165.39.188 | SNI=node3.mxvpn.dev | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 213.165.39.193:443 | IP=213.165.39.193 | SNI=node4.mxvpn.dev | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 95.85.228.212:443 | IP=95.85.228.212 | SNI=est.hatvpn.org | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
 185 | 144.31.168.24:443 | IP=144.31.168.24 | SNI=eu-central.cendora.ru | type=tcp | security=reality | fp=firefox | REALITY,TCP/RAW,PORT-443,FP-FIREFOX
